iter	RMSE
0	15.28709042
1	14.95274928
2	14.52838319
3	14.14690118
4	13.85604486
5	13.4475222
6	13.14416672
7	12.84229272
8	12.5413788
9	12.27029968
10	12.03369006
11	11.73187727
12	11.50625248
13	11.207777
14	10.92485311
15	10.65653099
16	10.44309664
17	10.21653899
18	10.04295615
19	9.848999649
20	9.648322576
21	9.450627287
22	9.247728386
23	9.071716097
24	8.873518796
25	8.724336232
26	8.586001181
27	8.424987245
28	8.276584976
29	8.132765073
30	7.969924971
31	7.843068216
32	7.721267668
33	7.597226697
34	7.473606414
35	7.355211452
36	7.246943762
37	7.151013748
38	7.033531061
39	6.930486769
40	6.824426845
41	6.729545359
42	6.627586778
43	6.541890582
44	6.459474761
45	6.381770301
46	6.289671227
47	6.212784863
48	6.127980266
49	6.045048041
50	5.975102475
51	5.897420638
52	5.812906788
53	5.749550682
54	5.692358962
55	5.630843833
56	5.566361267
57	5.502043178
58	5.442779133
59	5.38540615
60	5.332011239
61	5.279596446
62	5.222723782
63	5.165803276
64	5.124429408
65	5.081560909
66	5.035958
67	4.995024749
68	4.957461192
69	4.902948249
70	4.868356136
71	4.821722738
72	4.78187131
73	4.739245486
74	4.693905461
75	4.658093375
76	4.625156272
77	4.588365411
78	4.552269355
79	4.517889948
80	4.478233799
81	4.437611144
82	4.400742815
83	4.366097251
84	4.339813803
85	4.31171988
86	4.28249956
87	4.242494088
88	4.208247552
89	4.175063619
90	4.151298755
91	4.137568881
92	4.117549141
93	4.087008305
94	4.054215505
95	4.024929136
96	4.017566709
97	3.980452338
98	3.956029733
99	3.935269934
