iter	Passed	Remaining
0	49	48955
1	50	25151
2	51	17106
3	52	13070
4	53	10694
5	54	9104
6	55	7939
7	57	7069
8	57	6361
9	58	5810
10	59	5324
11	59	4921
12	60	4582
13	60	4290
14	61	4022
15	61	3797
16	62	3599
17	62	3422
18	63	3263
19	63	3118
20	64	2990
21	64	2874
22	65	2767
23	65	2663
24	66	2575
25	66	2493
26	67	2417
27	67	2346
28	68	2279
29	68	2214
30	69	2159
31	69	2106
32	70	2055
33	70	2005
34	71	1961
35	71	1918
36	72	1876
37	72	1837
38	73	1801
39	73	1764
40	73	1727
41	74	1690
42	74	1660
43	74	1627
44	75	1595
45	75	1567
46	76	1542
47	76	1514
48	76	1489
49	77	1463
50	77	1435
51	77	1414
52	77	1393
53	78	1372
54	78	1351
55	78	1330
56	79	1310
57	79	1290
58	79	1275
59	80	1256
60	80	1238
61	80	1222
62	81	1207
63	81	1191
64	81	1175
65	81	1159
66	82	1149
67	82	1136
68	83	1123
69	83	1109
70	83	1096
71	84	1083
72	84	1073
73	84	1063
74	85	1050
75	85	1039
76	85	1030
77	86	1017
78	86	1006
79	86	998
80	87	989
81	87	980
82	87	970
83	88	960
84	88	951
85	88	944
86	89	934
87	89	926
88	89	916
89	89	908
90	90	900
91	90	892
92	90	883
93	91	878
94	91	870
95	91	862
96	91	855
97	92	848
98	92	843
99	92	836
100	93	829
101	93	825
102	94	820
103	94	813
104	94	809
105	95	803
106	95	797
107	95	791
108	96	785
109	96	781
110	96	775
111	97	769
112	97	764
113	97	759
114	98	756
115	98	752
116	98	746
117	99	743
118	99	739
119	100	733
120	100	728
121	100	725
122	101	721
123	101	717
124	101	712
125	101	707
126	102	704
127	102	701
128	103	697
129	103	692
130	103	688
131	104	684
132	104	681
133	104	676
134	105	672
135	105	669
136	105	666
137	106	662
138	106	657
139	106	655
140	107	652
141	107	648
142	107	645
143	107	641
144	108	636
145	108	633
146	108	630
147	108	626
148	109	623
149	109	620
150	109	617
151	110	614
152	110	611
153	110	607
154	110	604
155	111	601
156	111	599
157	112	596
158	112	594
159	112	591
160	112	588
161	113	586
162	113	583
163	114	581
164	114	579
165	114	576
166	115	573
167	115	570
168	115	568
169	115	566
170	116	563
171	116	561
172	116	558
173	117	556
174	117	554
175	118	552
176	118	551
177	118	548
178	119	546
179	119	543
180	119	541
181	120	539
182	120	537
183	120	535
184	121	533
185	121	530
186	121	529
187	122	527
188	122	524
189	122	523
190	122	520
191	123	518
192	123	516
193	123	514
194	124	513
195	124	510
196	124	509
197	125	507
198	125	505
199	125	503
200	126	501
201	126	500
202	126	498
203	127	496
204	127	494
205	127	492
206	128	491
207	128	489
208	128	487
209	129	485
210	129	483
211	129	482
212	130	480
213	130	478
214	130	477
215	131	476
216	131	474
217	131	473
218	132	471
219	132	470
220	132	468
221	133	466
222	133	465
223	133	463
224	133	461
225	134	460
226	134	458
227	135	457
228	135	455
229	135	453
230	135	452
231	136	450
232	136	449
233	137	448
234	137	447
235	138	447
236	138	445
237	138	444
238	139	442
239	139	441
240	139	440
241	140	439
242	140	438
243	141	437
244	141	436
245	141	434
246	142	433
247	142	432
248	142	430
249	143	429
250	143	428
251	143	426
252	144	425
253	144	424
254	144	422
255	144	421
256	145	420
257	145	419
258	146	417
259	146	417
260	146	415
261	147	414
262	147	413
263	147	412
264	148	411
265	148	409
266	149	409
267	149	408
268	149	406
269	149	405
270	150	404
271	150	402
272	150	401
273	151	400
274	151	398
275	151	397
276	151	396
277	152	395
278	152	393
279	152	392
280	152	391
281	153	389
282	153	388
283	153	387
284	153	386
285	154	385
286	154	383
287	154	382
288	155	381
289	155	380
290	155	378
291	155	377
292	156	376
293	156	375
294	156	374
295	156	373
296	157	372
297	157	370
298	157	369
299	157	368
300	158	367
301	158	366
302	158	365
303	158	363
304	159	362
305	159	361
306	159	360
307	160	359
308	160	358
309	160	357
310	160	356
311	161	355
312	161	354
313	161	353
314	161	351
315	162	350
316	162	349
317	162	348
318	162	347
319	163	346
320	163	345
321	163	344
322	164	343
323	164	342
324	164	341
325	164	340
326	165	339
327	165	338
328	165	337
329	165	336
330	166	335
331	166	335
332	166	334
333	167	333
334	167	332
335	167	331
336	167	330
337	168	329
338	168	328
339	168	327
340	168	326
